Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2018-01-20 16:06:39,Running,,4.19,21:29,5:08,11.69,359.0,1,,,2018-01-20-1606.gpx
2018-01-19 08:23:34,Running,,3.12,18:06,5:48,10.36,266.0,0,,,2018-01-19-0823.gpx
2018-01-19 07:32:55,Running,,3.18,17:56,5:38,10.65,273.0,2,,,2018-01-19-0732.gpx
2018-01-18 08:23:41,Running,,3.40,18:54,5:34,10.79,292.0,0,,,2018-01-18-0823.gpx
2018-01-17 06:25:28,Running,,3.13,19:57,6:23,9.40,267.0,0,,,2018-01-17-0625.gpx
2018-01-17 05:12:40,Running,,3.17,18:33,5:51,10.25,273.0,2,,"",2018-01-17-0512.gpx
2018-01-16 09:30:43,Running,,2.02,11:02,5:27,11.00,174.0,0,,,2018-01-16-0930.gpx
2018-01-15 11:12:56,Running,,4.23,22:09,5:14,11.45,365.0,3,,,2018-01-15-1112.gpx
2018-01-14 14:25:37,Running,,6.58,33:16,5:03,11.86,568.0,2,,,2018-01-14-1425.gpx
2018-01-13 18:42:35,Running,,2.25,12:25,5:31,10.86,194.0,1,,,2018-01-13-1842.gpx
2018-01-12 08:24:40,Running,,3.40,18:56,5:34,10.77,291.0,0,,,2018-01-12-0824.gpx
2018-01-11 09:11:39,Running,,8.87,49:26,5:35,10.76,756.0,10,,,2018-01-11-0911.gpx
2018-01-10 11:30:10,Running,,2.77,14:58,5:25,11.08,238.0,1,,"",2018-01-10-1130.gpx
2018-01-09 17:30:18,Running,,2.10,11:59,5:42,10.51,180.0,0,,,2018-01-09-1730.gpx
2018-01-08 08:58:56,Running,,2.11,11:21,5:23,11.16,181.0,0,,,2018-01-08-0858.gpx
2018-01-07 11:24:54,Running,,2.55,12:53,5:03,11.87,219.0,1,,,2018-01-07-1124.gpx
2018-01-06 10:01:28,Running,,12.74,1:07:12,5:17,11.37,1106.0,22,,,2018-01-06-1001.gpx
2018-01-05 06:38:48,Running,,2.20,11:55,5:26,11.06,190.0,1,,,2018-01-05-0638.gpx
2018-01-04 08:54:03,Running,,5.01,26:35,5:19,11.30,432.0,0,,,2018-01-04-0854.gpx
2018-01-03 09:32:14,Running,,5.36,26:38,4:58,12.07,462.0,0,,,2018-01-03-0932.gpx
2018-01-02 07:40:14,Running,,6.37,33:43,5:17,11.34,550.0,2,,,2018-01-02-0740.gpx
2018-01-01 09:48:28,Running,,3.06,16:15,5:18,11.32,264.0,1,,,2018-01-01-0948.gpx
2017-12-31 07:26:30,Running,,4.35,24:26,5:37,10.69,378.0,9,,,2017-12-31-0726.gpx
2017-12-30 07:29:29,Running,,5.78,32:44,5:40,10.59,520.0,72,,,2017-12-30-0729.gpx
2017-12-29 08:48:08,Running,,3.31,16:18,4:56,12.18,289.0,6,,,2017-12-29-0848.gpx
2017-12-28 06:41:18,Running,,2.17,11:27,5:16,11.39,187.0,1,,,2017-12-28-0641.gpx
2017-12-27 08:37:29,Running,,4.63,23:44,5:08,11.70,402.0,10,,,2017-12-27-0837.gpx
2017-12-26 07:36:10,Running,,9.29,1:11:29,7:42,7.80,869.0,284,,,2017-12-26-0736.gpx
2017-12-25 08:17:14,Running,,8.00,43:38,5:27,11.00,699.0,34,,,2017-12-25-0817.gpx
2017-12-24 08:02:11,Running,,11.26,1:15:05,6:40,9.00,1086.0,383,,,2017-12-24-0802.gpx
2017-12-23 07:08:37,Running,,5.76,30:16,5:15,11.42,495.0,2,,,2017-12-23-0708.gpx
2017-12-22 10:58:29,Running,,3.03,17:12,5:40,10.57,260.0,0,,,2017-12-22-1058.gpx
2017-12-22 09:25:12,Running,,9.47,50:44,5:21,11.20,823.0,20,,,2017-12-22-0925.gpx
2017-12-21 11:42:59,Running,,11.66,1:00:44,5:13,11.52,1005.0,13,,,2017-12-21-1142.gpx
2017-12-20 08:58:38,Running,,3.05,16:52,5:32,10.84,262.0,0,,,2017-12-20-0858.gpx
2017-12-20 07:40:48,Running,,3.00,16:16,5:25,11.08,259.0,2,,,2017-12-20-0740.gpx
2017-12-19 14:59:26,Running,,7.01,37:04,5:17,11.34,601.0,6,,,2017-12-19-1459.gpx
2017-12-18 07:56:22,Running,,3.51,20:11,5:45,10.42,305.0,3,,,2017-12-18-0756.gpx
2017-12-17 10:03:34,Running,,5.87,28:27,4:51,12.39,505.0,2,,,2017-12-17-1003.gpx
2017-12-16 12:05:53,Running,,8.07,41:45,5:10,11.60,700.0,9,,,2017-12-16-1205.gpx
2017-12-15 08:03:52,Running,,3.07,16:49,5:29,10.95,262.0,0,,,2017-12-15-0803.gpx
2017-12-15 07:03:07,Running,,3.27,17:01,5:13,11.51,282.0,2,,,2017-12-15-0703.gpx
2017-12-14 13:50:14,Running,,9.61,48:52,5:05,11.80,831.0,6,,,2017-12-14-1350.gpx
2017-12-13 08:33:50,Running,,3.04,16:47,5:31,10.88,261.0,0,,,2017-12-13-0833.gpx
2017-12-13 07:30:58,Running,,3.02,15:44,5:12,11.53,261.0,2,,,2017-12-13-0730.gpx
2017-12-12 08:04:02,Running,,2.39,11:52,4:58,12.08,206.0,0,,,2017-12-12-0804.gpx
2017-12-11 06:27:41,Running,,3.33,19:24,5:50,10.30,286.0,0,,,2017-12-11-0627.gpx
2017-12-11 05:10:15,Running,,3.23,16:52,5:13,11.50,279.0,2,,,2017-12-11-0510.gpx
2017-12-10 08:56:49,Running,,2.01,9:42,4:49,12.45,170.0,0,,"",2017-12-10-0856.gpx
2017-12-09 10:26:43,Running,,7.63,43:46,5:44,10.47,664.0,4,,,2017-12-09-1026.gpx
2017-12-08 06:12:19,Running,,3.00,17:38,5:53,10.21,258.0,0,,,2017-12-08-0612.gpx
2017-12-08 05:05:36,Running,,3.26,18:06,5:34,10.79,281.0,2,,,2017-12-08-0505.gpx
2017-12-07 16:20:37,Running,,8.11,41:05,5:04,11.85,700.0,4,,,2017-12-07-1620.gpx
2017-12-06 07:34:03,Running,,2.88,16:37,5:46,10.41,248.0,0,,,2017-12-06-0734.gpx
2017-12-06 06:31:28,Running,,3.28,17:39,5:22,11.17,283.0,2,,,2017-12-06-0631.gpx
2017-12-05 07:53:14,Running,,3.37,16:55,5:01,11.97,291.0,1,,,2017-12-05-0753.gpx
2017-12-04 06:20:23,Running,,3.34,18:20,5:30,10.91,286.0,0,,,2017-12-04-0620.gpx
2017-12-04 05:10:28,Running,,3.20,16:59,5:18,11.31,277.0,2,,,2017-12-04-0510.gpx
2017-12-03 08:38:09,Running,,10.14,50:38,5:00,12.02,874.0,0,,,2017-12-03-0838.gpx
2017-12-02 12:22:08,Running,,5.02,20:08,4:01,14.95,424.0,1,,,2017-12-02-1222.gpx
2017-12-01 12:50:41,Running,,6.00,29:09,4:51,12.35,520.0,5,,,2017-12-01-1250.gpx
2017-11-30 05:58:02,Running,,3.26,17:21,5:19,11.27,281.0,0,,,2017-11-30-0558.gpx
2017-11-30 05:11:58,Running,,3.43,21:34,6:18,9.53,296.0,3,,,2017-11-30-0511.gpx
2017-11-29 08:55:27,Running,,2.41,12:03,5:00,12.00,208.0,1,,,2017-11-29-0855.gpx
2017-11-28 07:20:32,Running,,5.66,27:35,4:53,12.30,487.0,0,,,2017-11-28-0720.gpx
2017-11-27 06:01:00,Running,,3.23,16:52,5:13,11.49,278.0,0,,,2017-11-27-0601.gpx
2017-11-27 05:31:06,Running,,3.10,16:05,5:11,11.56,268.0,2,,,2017-11-27-0531.gpx
2017-11-26 08:54:32,Running,,5.02,24:16,4:50,12.41,432.0,0,,,2017-11-26-0854.gpx
2017-11-25 10:35:27,Running,,6.49,30:43,4:44,12.68,553.0,3,,,2017-11-25-1035.gpx
2017-11-24 09:21:31,Running,,4.10,23:27,5:43,10.49,354.0,2,,,2017-11-24-0921.gpx
2017-11-23 09:41:08,Running,,6.82,33:42,4:57,12.14,587.0,4,,,2017-11-23-0941.gpx
2017-11-22 08:20:49,Running,,6.17,30:57,5:01,11.95,532.0,2,,,2017-11-22-0820.gpx
2017-11-21 07:06:17,Running,,8.69,49:04,5:39,10.62,754.0,3,,,2017-11-21-0706.gpx
2017-11-20 07:36:41,Running,,7.01,37:54,5:24,11.10,598.0,3,,,2017-11-20-0736.gpx
2017-11-19 09:43:26,Running,,5.84,29:20,5:01,11.95,505.0,1,,,2017-11-19-0943.gpx
2017-11-18 09:42:23,Running,,1.68,9:48,5:50,10.27,144.0,0,,,2017-11-18-0942.gpx
2017-11-18 08:39:37,Running,,10.12,43:06,4:16,14.09,863.0,4,,,2017-11-18-0839.gpx
2017-11-18 08:04:44,Running,,2.72,15:48,5:49,10.31,232.0,2,,,2017-11-18-0804.gpx
